"","out01_0","out02_0","out03_0","out04_0","out05_0","out06_0","out07_0","out08_0","out09_0"
"THEM4",5,6,6,6,6,6,7,6,7
"THEM5",0,0,0,0,0,0,0,0,0
"THEM6",0,0,1,0,0,0,1,1,1
"THEMIS",0,0,0,0,0,0,0,0,0
"THEMIS2",6,7,9,7,6,5,7,7,8
"THG1L",19,19,20,21,20,22,20,20,20
"THNSL1",4,4,3,3,3,4,3,3,3
"THNSL2",1,1,2,1,1,1,1,0,0
"THOC1",43,42,41,40,38,41,39,35,43
"THOC2",41,42,42,43,37,42,42,39,41
"THOC3",6,6,5,5,5,5,5,5,5
"THOC5",49,47,44,42,34,37,33,28,29
"THOC6",1,3,3,5,4,6,8,6,7
"THOC7",191,194,191,196,152,173,171,165,168
"THOP1",2,1,1,1,1,2,2,2,2
"THPO",0,0,0,0,0,0,0,0,0
"THRA",4,2,3,2,1,2,2,1,2
"THRAP3",249,260,259,270,244,290,295,273,307
"THRB",1,1,1,1,1,1,0,0,0
"THRB-AS1",0,0,0,0,0,0,0,0,0
"THRSP",0,0,0,0,0,0,0,0,0
"THSD1",33,35,28,24,19,18,17,13,11
"THSD4",1,1,1,1,1,2,2,2,2
"THSD7A",0,0,0,0,0,0,0,0,0
"THSD7B",1,1,0,0,0,0,0,0,0
"THTPA",7,6,6,6,6,8,9,7,7
"THUMPD1",68,73,73,72,66,78,78,77,85
"THUMPD2",16,15,14,13,12,13,11,11,11
"THUMPD3",24,23,23,26,20,24,24,23,25
"THY1",24,28,35,46,43,53,58,58,68
"THYN1",123,125,153,155,147,170,179,171,198
"TIA1",73,68,63,66,54,58,57,48,51
"TIAF1",8,7,7,7,6,6,6,4,4
"TIAL1",55,55,56,57,51,58,57,54,58
"TIAM1",4,4,4,4,3,3,3,2,3
"TIAM2",4,4,5,5,3,3,5,4,4
"TICAM1",1,1,1,1,1,1,1,0,0
"TICAM2",5,5,4,4,4,4,4,5,4
"TICRR",0,1,1,1,1,2,2,2,3
"TIE1",0,0,0,0,0,0,0,0,0
"TIFA",2,2,2,3,2,3,3,3,3
"TIFAB",0,0,0,0,0,0,0,0,0
"TIGD1",12,10,10,9,7,7,5,4,5
"TIGD2",1,1,1,1,2,2,2,2,3
"TIGD3",0,0,0,0,0,0,0,0,0
"TIGD4",0,0,1,0,0,0,0,0,0
"TIGD5",0,0,0,0,0,0,0,0,0
"TIGD6",0,0,1,1,1,1,1,1,1
"TIGD7",4,4,4,3,3,3,3,3,2
"TIGIT",0,0,0,0,0,0,0,0,0
"TIMD4",0,0,0,0,0,0,0,0,0
"TIMELESS",3,5,8,9,9,12,14,15,18
"TIMM10",326,379,385,405,392,456,464,458,536
"TIMM10B",30,29,29,30,27,32,31,29,32
"TIMM13",120,117,115,115,97,111,110,96,99
"TIMM17A",420,411,386,374,316,343,327,297,308
"TIMM17B",101,95,87,79,62,73,65,59,53
"TIMM21",50,53,63,70,67,84,91,84,97
"TIMM22",62,64,65,62,59,71,71,64,69
"TIMM23",290,296,294,288,248,289,293,258,278
"TIMM44",10,9,8,8,6,8,7,6,5
"TIMM50",18,18,20,20,17,19,21,18,20
"TIMM8A",34,34,33,39,35,41,39,33,36
"TIMM8B",267,270,258,251,212,234,230,212,216
"TIMM9",42,37,39,41,40,44,41,40,45
"TIMMDC1",177,165,161,158,130,143,140,121,124
"TIMP1",785,972,1122,1300,1269,1570,1735,1719,1968
"TIMP2",99,86,80,75,60,62,57,47,47
"TIMP3",180,171,167,169,140,158,156,137,149
"TIMP4",0,0,0,0,0,0,0,0,0
"TINAG",0,0,0,0,0,0,0,0,0
"TINAGL1",0,0,0,0,0,0,0,0,0
"TINCR",0,0,0,0,0,0,0,0,0
"TINF2",28,25,24,22,19,18,16,16,16
"TIPARP",27,26,28,28,27,32,34,31,36
"TIPARP-AS1",0,0,0,0,0,0,0,0,0
"TIPIN",16,22,28,36,39,55,56,57,66
"TIPRL",80,84,80,81,67,68,73,66,74
"TIRAP",15,13,14,9,7,9,7,5,4
"TISP43",0,0,0,0,0,0,0,0,0
"TJAP1",8,7,8,7,6,7,6,6,6
"TJP1",40,40,41,40,36,42,41,37,39
"TJP2",4,5,4,4,3,4,4,4,4
"TJP3",0,0,0,0,0,0,0,0,0
"TK1",47,74,99,127,130,168,191,193,235
"TK2",5,5,7,7,7,9,10,10,10
"TKT",40,50,55,66,62,79,80,80,93
"TKTL1",0,0,0,0,0,0,0,0,0
"TKTL2",0,0,0,0,0,0,0,0,0
"TLCD1",9,6,6,5,6,3,6,3,4
"TLCD2",7,6,6,5,4,4,3,2,2
"TLE1",1,1,1,2,2,3,2,3,3
"TLE2",0,0,0,0,0,0,0,0,0
"TLE3",33,33,33,33,29,32,33,30,32
"TLE4",14,12,12,10,8,9,7,6,6
"TLE6",0,0,0,0,0,0,0,0,0
"TLK1",66,68,69,68,60,71,72,68,73
"TLK2",18,16,15,13,11,10,9,8,7
"TLL1",0,0,0,0,0,0,0,0,0
"TLL2",0,0,0,0,0,0,0,0,0
"TLN1",36,35,35,34,29,33,33,30,31
"TLN2",3,3,3,4,3,4,5,4,5
"TLR1",0,0,0,0,0,0,0,0,0
"TLR10",0,0,0,0,0,0,0,0,0
"TLR2",0,0,0,0,0,0,0,0,0
"TLR3",0,0,0,0,0,0,0,0,0
"TLR4",3,4,4,4,5,5,6,5,5
"TLR5",0,0,0,0,0,0,0,0,0
"TLR6",0,0,1,1,1,1,1,1,1
"TLR7",0,0,0,0,0,0,0,0,0
"TLR8",0,0,0,0,0,0,0,0,0
"TLR8-AS1",0,0,0,0,0,0,0,0,0
"TLR9",0,0,0,0,0,0,0,0,0
"TLX1",0,0,0,0,0,0,0,0,0
"TLX1NB",0,0,0,0,0,0,0,0,0
"TLX2",0,0,0,0,0,0,0,0,0
"TLX3",0,0,0,0,0,0,0,0,0
"TM2D1",54,54,47,44,38,42,42,33,32
"TM2D2",16,17,20,20,19,24,25,26,29
"TM2D3",93,97,92,88,67,78,69,62,60
"TM4SF1",45,66,75,98,102,128,141,133,165
"TM4SF18",0,0,0,0,0,1,1,0,1
"TM4SF19",0,0,0,0,0,0,0,0,0
"TM4SF19-TCTEX1D2",0,0,0,0,0,0,0,0,0
"TM4SF20",1,0,1,0,0,0,0,0,0
"TM4SF4",0,0,0,0,0,0,0,0,0
"TM4SF5",0,0,0,0,0,0,0,0,0
"TM6SF1",7,8,6,6,5,8,7,7,6
"TM6SF2",0,0,0,0,0,0,0,0,0
"TM7SF2",9,8,8,7,5,4,3,2,2
"TM7SF3",4,5,6,7,7,8,10,10,11
"TM9SF1",37,36,34,36,32,36,37,33,34
"TM9SF2",64,67,62,61,54,61,60,52,55
"TM9SF3",38,36,37,36,31,36,34,32,32
"TM9SF4",16,14,13,11,11,10,9,8,7
"TMA16",39,36,34,32,28,28,26,25,26
"TMA7",1131,1149,1207,1294,1135,1315,1396,1268,1455
"TMBIM1",44,46,40,40,35,39,36,34,35
"TMBIM4",175,182,178,192,174,199,200,183,209
"TMBIM6",381,393,394,406,360,412,431,395,434
"TMC1",0,0,0,0,0,0,0,0,0
"TMC2",0,0,0,0,0,0,0,0,0
"TMC3",0,0,0,0,0,0,0,0,0
"TMC4",0,0,0,0,0,0,0,0,0
"TMC5",0,0,0,0,0,0,0,0,0
"TMC6",1,1,1,0,0,0,0,0,0
"TMC7",0,1,1,1,1,1,2,2,2
"TMC8",0,0,0,0,0,0,0,0,0
"TMCC1",35,34,31,27,21,22,18,14,13
"TMCC2",3,2,2,1,1,1,1,1,0
"TMCC3",5,5,5,4,4,4,4,4,4
"TMCO1",55,58,57,59,52,62,60,58,63
"TMCO2",0,0,0,0,0,0,0,0,0
"TMCO3",14,17,18,21,20,25,29,27,29
"TMCO4",0,1,1,1,1,1,2,1,3
"TMCO5A",0,0,0,0,0,0,0,0,0
"TMCO5B",0,0,0,0,0,0,0,0,0
"TMCO6",1,2,2,2,3,3,3,3,4
"TMED1",34,35,33,31,28,29,31,30,30
"TMED10",91,85,87,80,69,74,74,64,66
"TMED10P1",3,3,3,2,2,2,1,1,1
"TMED11P",0,0,0,0,0,0,0,1,0
"TMED2",342,334,309,308,261,282,281,240,259
"TMED3",78,75,76,73,57,68,64,59,59
"TMED4",116,113,105,98,78,83,76,67,63
"TMED5",19,18,19,19,18,19,21,18,19
"TMED6",0,0,0,0,0,0,0,0,0
"TMED7",38,37,37,36,30,36,35,34,36
"TMED7-TICAM2",0,0,0,0,0,0,1,0,1
"TMED8",0,0,0,0,0,0,0,0,0
"TMED9",61,56,53,48,35,42,31,27,26
"TMEFF1",1,0,0,0,0,0,0,0,0
"TMEFF2",20,19,23,31,27,33,31,34,37
"TMEM100",0,0,0,0,0,0,1,0,0
"TMEM101",25,25,22,21,17,18,20,17,17
"TMEM102",0,0,0,0,0,0,0,0,0
"TMEM104",1,1,1,2,2,2,2,2,2
"TMEM105",0,0,0,0,0,0,0,0,0
"TMEM106A",2,2,2,2,2,3,2,3,3
"TMEM106B",8,7,8,7,6,6,6,6,6
"TMEM106C",73,96,111,138,122,161,168,169,197
"TMEM107",3,6,8,7,7,10,11,10,12
"TMEM108",29,25,21,17,13,12,9,5,3
"TMEM109",31,31,26,24,20,19,19,14,13
"TMEM11",128,128,119,122,101,113,111,96,104
"TMEM110",0,1,1,1,1,2,2,2,2
"TMEM110-MUSTN1",0,0,0,0,0,0,0,0,0
"TMEM114",0,0,0,0,0,0,0,0,0
"TMEM115",12,10,11,10,9,10,10,9,10
"TMEM116",3,5,7,8,10,10,14,14,18
"TMEM117",3,3,3,3,4,4,4,4,3
"TMEM119",4,3,2,2,1,2,1,1,0
"TMEM120A",46,38,35,32,24,25,22,16,14
"TMEM120B",7,6,5,5,4,3,3,2,2
"TMEM121",0,0,0,0,0,0,0,0,0
"TMEM123",45,48,51,53,47,57,60,54,63
"TMEM125",0,0,0,0,0,0,0,0,0
"TMEM126A",123,123,113,117,102,118,125,108,122
"TMEM126B",85,87,81,86,74,79,77,63,75
"TMEM127",10,9,8,9,8,11,10,10,10
"TMEM128",23,27,25,23,24,28,27,25,25
"TMEM129",1,1,0,1,1,1,1,1,1
"TMEM130",0,0,0,0,0,0,0,0,0
"TMEM131",5,5,5,5,4,5,6,5,6
"TMEM132A",1,1,1,1,1,1,1,0,0
"TMEM132B",0,0,0,0,0,1,0,1,1
"TMEM132C",0,0,0,0,0,0,0,0,0
"TMEM132D",0,0,0,0,0,0,0,0,0
"TMEM132E",0,0,0,0,0,0,0,0,0
"TMEM133",8,6,6,7,6,6,6,5,5
"TMEM134",23,20,21,23,19,22,19,16,16
"TMEM135",9,9,8,6,5,5,4,3,3
"TMEM136",5,4,4,3,3,3,2,2,2
"TMEM138",23,33,38,45,48,58,62,60,73
"TMEM139",0,0,0,0,0,0,0,0,0
"TMEM140",0,0,0,0,0,0,0,0,0
"TMEM141",39,40,34,43,33,38,44,37,33
"TMEM143",1,1,1,1,1,1,1,0,0
"TMEM144",13,12,11,8,6,5,4,3,3
"TMEM145",0,0,0,0,0,0,0,0,0
"TMEM147",138,145,124,141,114,128,119,116,111
"TMEM14A",39,45,48,52,57,66,70,62,75
"TMEM14B",294,293,276,272,247,282,266,246,265
"TMEM14C",260,264,268,268,255,292,286,278,308
"TMEM14E",0,0,0,0,0,0,0,0,0
"TMEM150A",34,31,29,28,25,27,23,19,24
"TMEM150B",0,0,0,0,0,0,0,0,0
"TMEM150C",0,0,0,0,0,0,0,0,0
"TMEM151A",0,0,0,0,0,0,0,0,0
"TMEM151B",0,0,0,0,0,0,0,0,0
"TMEM154",0,0,0,0,0,0,0,0,0
"TMEM155",0,0,0,1,0,1,1,1,1
"TMEM156",0,0,0,0,0,0,0,0,0
"TMEM158",5,5,4,4,2,2,2,1,1
"TMEM159",11,9,10,9,8,9,7,6,6
"TMEM160",4,4,3,3,1,3,4,3,3
"TMEM161A",13,16,17,12,13,16,15,13,14
"TMEM161B",6,6,7,6,6,7,7,6,7
"TMEM161B-AS1",15,12,7,9,8,11,8,6,4
"TMEM163",0,0,0,0,0,0,0,0,0
"TMEM164",1,1,1,1,1,1,1,1,1
"TMEM165",14,18,18,21,21,23,25,22,29
"TMEM167A",59,60,59,59,49,57,54,49,53
"TMEM167B",14,13,12,12,8,8,9,7,6
"TMEM168",13,14,13,13,11,13,13,12,13
"TMEM169",7,6,4,4,3,2,1,1,1
"TMEM17",1,0,0,0,0,0,0,1,0
"TMEM170A",7,8,10,14,14,18,21,19,23
"TMEM170B",0,0,0,0,0,0,0,0,0
"TMEM171",4,6,8,9,10,14,13,14,15
"TMEM173",44,44,39,37,32,35,30,25,27
"TMEM174",0,0,0,0,0,0,0,0,0
"TMEM175",0,0,0,0,0,0,0,0,0
"TMEM176A",0,0,0,0,0,0,0,0,0
"TMEM176B",0,0,0,0,0,0,0,0,0
"TMEM177",57,55,47,43,37,38,30,26,23
"TMEM178A",14,11,11,7,5,5,3,2,1
"TMEM178B",0,0,0,0,0,0,0,0,0
"TMEM179",0,0,0,0,0,0,0,0,0
"TMEM179B",183,184,179,179,154,172,170,160,165
"TMEM18",38,38,37,37,35,37,39,35,39
"TMEM180",1,1,1,2,2,2,2,2,2
"TMEM181",6,7,6,7,6,7,8,8,9
"TMEM182",12,12,9,8,6,5,3,2,1
"TMEM183A",5,5,4,4,3,5,3,3,4
"TMEM183B",49,50,49,45,39,42,46,39,36
"TMEM184A",0,0,0,0,0,0,0,0,0
"TMEM184B",4,4,4,4,4,4,4,3,4
"TMEM184C",22,20,21,19,15,16,14,14,15
"TMEM185A",3,3,3,2,2,2,1,1,1
"TMEM185B",8,8,7,6,6,7,6,6,6
"TMEM186",18,17,15,16,12,15,12,12,12
"TMEM187",7,7,8,9,7,8,6,7,7
"TMEM189",37,37,39,42,39,41,43,41,44
"TMEM189-UBE2V1",0,0,0,0,0,0,0,0,0
"TMEM19",6,7,8,10,9,11,12,11,13
"TMEM190",0,0,0,0,1,1,0,1,1
"TMEM191A",0,0,0,0,0,0,0,0,0
"TMEM191B",1,0,1,1,0,0,0,0,0
"TMEM191C",1,1,1,0,0,0,0,0,0
"TMEM192",6,6,6,6,5,6,6,6,6
"TMEM194A",2,3,4,5,5,6,7,6,8
"TMEM194B",0,0,0,1,1,1,1,1,1
"TMEM196",0,0,0,0,0,0,0,0,0
"TMEM198",0,0,0,0,0,0,0,0,0
"TMEM198B",5,4,4,4,2,3,2,2,1
"TMEM199",20,21,17,20,14,15,17,14,13
"TMEM2",6,5,5,5,4,4,3,3,3
"TMEM200A",2,3,4,5,5,6,7,8,9
"TMEM200B",0,0,0,0,0,0,0,0,0
"TMEM200C",0,0,0,0,0,0,0,0,0
"TMEM201",2,1,1,1,1,1,1,0,1
"TMEM202",0,0,0,0,0,0,0,0,0
"TMEM203",6,7,6,8,8,9,11,9,11
"TMEM204",0,0,0,0,0,0,0,0,0
"TMEM205",116,104,95,88,67,69,69,60,43
"TMEM206",21,20,21,21,15,18,17,15,18
"TMEM207",0,0,0,0,0,0,0,0,0
"TMEM208",196,214,226,217,215,249,261,244,270
"TMEM209",46,48,51,58,54,67,67,64,73
"TMEM211",0,0,0,0,0,0,0,0,0
"TMEM212",3,2,2,2,2,2,2,2,1
"TMEM213",0,0,0,0,0,0,0,0,0
"TMEM214",23,22,23,21,19,22,22,21,24
"TMEM215",0,0,0,0,0,0,0,0,0
"TMEM216",25,22,20,20,15,19,20,14,17
"TMEM217",0,0,0,0,0,0,0,0,0
"TMEM218",10,10,9,8,7,9,8,7,8
"TMEM219",124,120,121,124,115,128,133,111,127
"TMEM220",3,3,3,3,2,2,3,2,2
"TMEM220-AS1",0,1,0,0,1,0,0,0,0
"TMEM221",0,0,0,0,0,0,0,0,0
"TMEM222",52,61,61,64,57,69,76,67,79
"TMEM223",35,38,37,37,30,30,30,28,27
"TMEM225",0,0,0,0,0,0,0,0,0
"TMEM229A",0,0,0,0,0,0,0,0,0
"TMEM229B",0,0,0,0,0,0,0,0,0
"TMEM230",313,286,273,258,215,223,214,177,182
"TMEM231",3,3,2,2,2,1,1,1,1
"TMEM232",0,0,0,0,0,0,0,0,0
"TMEM233",28,24,26,24,19,21,17,15,18
"TMEM234",11,14,16,16,15,21,21,23,27
"TMEM235",0,0,0,0,0,0,0,0,0
"TMEM236",0,0,0,0,0,0,0,0,0
"TMEM237",11,13,14,14,13,16,16,16,17
"TMEM238",0,0,0,0,0,0,0,0,0
"TMEM239",0,0,0,0,0,0,0,0,0
"TMEM240",0,0,0,0,0,0,0,0,0
"TMEM241",15,15,12,10,8,8,8,5,4
"TMEM242",23,22,21,22,20,20,21,18,19
"TMEM243",9,12,11,13,13,19,18,20,21
"TMEM244",1,1,0,3,5,5,6,5,5
"TMEM245",15,16,17,19,17,19,21,20,23
"TMEM246",0,1,1,1,1,1,1,1,2
"TMEM247",0,0,0,0,0,0,0,0,0
"TMEM248",30,29,28,27,24,28,26,23,24
"TMEM249",0,0,0,0,0,0,0,0,0
"TMEM25",18,17,12,13,11,10,8,6,4
"TMEM251",30,36,39,46,43,50,55,56,64
"TMEM252",0,0,0,0,0,0,0,0,0
"TMEM253",0,0,0,0,0,0,0,0,0
"TMEM254",14,14,15,14,13,16,16,16,18
"TMEM254-AS1",0,0,0,0,0,0,0,0,0
"TMEM255A",1,0,0,0,0,0,0,0,0
"TMEM255B",0,0,0,0,1,1,1,0,1
"TMEM256",210,193,194,203,167,225,206,187,199
"TMEM257",0,0,0,0,0,0,0,0,0
"TMEM258",992,1039,1070,1076,975,1126,1118,1034,1143
"TMEM259",1,1,1,1,1,1,1,1,1
"TMEM26",0,0,0,0,0,0,0,0,0
"TMEM27",0,0,0,0,0,0,0,0,0
"TMEM30A",24,23,24,23,19,22,21,19,21
"TMEM30B",0,0,0,0,0,0,0,0,0
"TMEM30C",0,0,0,0,0,0,0,0,0
"TMEM31",0,0,0,0,0,0,0,0,0
"TMEM33",116,117,112,109,95,109,105,97,103
"TMEM35",1,2,3,2,4,5,5,6,6
"TMEM37",0,0,0,0,0,0,0,0,0
"TMEM38A",3,2,2,1,1,1,1,0,0
"TMEM38B",16,17,15,14,11,12,12,11,10
"TMEM39A",20,21,20,21,19,21,21,20,23
"TMEM39B",12,12,12,13,14,16,16,17,17
"TMEM40",0,0,0,0,0,0,0,0,0
"TMEM41A",11,15,15,15,14,16,18,15,18
"TMEM41B",84,80,80,76,68,76,74,67,74
"TMEM42",7,8,10,12,10,14,15,13,16
"TMEM43",25,29,27,27,25,28,28,28,29
"TMEM44",2,2,2,3,2,3,3,2,3
"TMEM44-AS1",5,4,3,2,2,2,1,1,2
"TMEM45A",42,39,45,37,31,30,34,26,28
"TMEM45B",0,0,0,0,0,0,0,0,0
"TMEM47",79,78,71,69,54,59,57,48,47
"TMEM48",9,12,15,17,18,22,25,25,28
"TMEM5",13,14,12,11,9,10,7,6,6
"TMEM50A",145,141,137,138,121,136,137,124,131
"TMEM50B",73,65,62,58,48,50,47,40,39
"TMEM51",0,0,0,0,0,0,0,0,0
"TMEM51-AS1",0,0,0,0,0,0,0,0,0
"TMEM52",0,0,0,0,0,0,0,0,0
"TMEM52B",0,0,0,0,0,0,0,0,0
"TMEM53",1,2,4,3,3,4,4,5,5
"TMEM54",12,13,14,14,14,14,14,12,14
"TMEM55A",15,15,16,19,16,19,21,18,22
"TMEM55B",1,1,1,1,1,2,1,1,1
"TMEM56",1,1,0,1,0,0,0,0,0
"TMEM56-RWDD3",6,6,5,4,5,3,2,3,2
"TMEM57",7,7,8,7,7,8,9,8,10
"TMEM59",191,184,182,173,157,167,159,141,146
"TMEM59L",0,0,0,1,0,0,0,0,0
"TMEM60",82,80,87,94,83,91,97,93,103
"TMEM61",0,0,0,0,0,0,0,0,0
"TMEM62",4,3,2,2,1,1,1,0,0
"TMEM63A",2,3,2,2,1,1,1,1,0
"TMEM63B",1,1,1,1,0,1,1,0,0
"TMEM63C",0,0,0,0,0,0,0,0,0
"TMEM64",27,25,21,19,14,13,12,9,8
"TMEM65",1,1,1,1,0,1,1,0,0
"TMEM66",149,136,123,114,90,89,80,66,61
"TMEM67",3,3,3,3,2,2,1,1,1
"TMEM68",5,4,6,5,5,6,5,6,5
"TMEM69",45,51,53,53,50,57,62,58,63
"TMEM70",9,6,9,10,9,12,13,11,14
"TMEM71",0,0,0,0,0,0,0,0,0
"TMEM72",0,0,0,0,0,0,0,0,0
"TMEM72-AS1",1,1,1,1,0,1,1,1,1
"TMEM74",0,0,0,0,0,0,0,0,0
"TMEM74B",0,0,0,0,0,0,0,0,0
"TMEM79",0,0,0,1,1,1,1,1,1
"TMEM80",11,13,10,11,10,11,10,9,9
"TMEM81",1,1,1,2,2,2,2,2,3
"TMEM82",0,0,0,0,0,0,0,0,0
"TMEM86A",1,1,0,0,0,0,0,0,0
"TMEM86B",1,0,1,1,2,2,3,2,2
"TMEM87A",57,59,61,56,50,55,55,49,56
"TMEM87B",6,7,7,6,5,5,6,5,6
"TMEM88",0,0,0,0,0,0,0,0,0
"TMEM88B",0,0,0,0,0,0,0,0,0
"TMEM89",0,0,0,0,0,0,0,0,0
"TMEM8A",9,9,7,8,6,6,6,4,5
"TMEM8B",1,0,1,1,1,1,0,0,1
"TMEM8C",480,416,362,292,221,193,147,84,45
"TMEM9",68,67,64,71,59,71,72,69,74
"TMEM91",3,4,3,1,1,2,1,2,1
"TMEM92",0,0,0,0,0,0,0,0,0
"TMEM95",0,0,0,0,0,0,0,0,0
"TMEM97",32,30,32,34,31,36,40,37,40
"TMEM98",108,113,118,128,112,122,130,117,129
"TMEM99",10,11,11,14,11,14,14,15,16
"TMEM9B",46,47,42,40,31,36,34,29,28
"TMEM9B-AS1",0,0,0,0,0,0,0,0,0
"TMF1",20,21,20,19,18,18,17,16,17
"TMIE",0,0,0,0,0,0,0,0,0
"TMIGD1",0,0,0,0,0,0,0,0,0
"TMIGD2",0,1,0,0,0,0,0,0,0
"TMLHE",15,13,16,15,12,13,12,10,12
"TMLHE-AS1",0,0,0,0,0,0,0,0,0
"TMOD1",1,1,1,1,1,0,0,0,0
"TMOD2",0,1,1,1,1,2,2,2,2
"TMOD3",19,21,23,26,24,29,32,29,34
"TMOD4",0,0,0,0,0,0,0,0,0
"TMPO",28,35,41,51,52,66,74,73,85
"TMPO-AS1",0,0,0,0,0,0,0,0,0
"TMPPE",0,0,0,0,0,1,0,1,0
"TMPRSS11A",0,0,0,0,0,0,0,0,0
"TMPRSS11B",0,0,0,0,0,0,0,0,0
"TMPRSS11BNL",0,0,0,0,0,0,0,0,0
"TMPRSS11D",0,0,0,0,0,0,0,0,0
"TMPRSS11E",0,0,0,0,0,0,0,0,0
"TMPRSS11F",0,0,0,0,0,0,0,0,0
"TMPRSS11GP",0,0,0,0,0,0,0,0,0
"TMPRSS12",0,0,0,0,0,0,0,0,0
"TMPRSS13",0,0,0,0,0,0,0,0,0
"TMPRSS15",0,0,0,0,0,0,0,0,0
"TMPRSS2",0,0,0,0,0,0,0,0,0
"TMPRSS3",0,0,0,0,0,0,0,0,0
"TMPRSS4",0,0,0,0,0,0,0,0,0
"TMPRSS4-AS1",0,0,0,0,0,0,0,0,0
"TMPRSS5",0,0,0,0,0,0,1,0,1
"TMPRSS6",0,0,0,0,0,0,0,0,0
"TMPRSS7",0,0,0,0,0,0,0,0,0
"TMPRSS9",0,0,0,0,0,0,0,0,0
"TMSB10",7362,7880,8061,8576,7729,9254,9414,8867,9890
"TMSB15A",74,97,106,125,119,154,168,162,187
"TMSB15B",48,55,57,55,47,59,54,54,52
"TMSB4X",8221,7935,7574,7327,6190,6708,6478,5700,5962
"TMSB4Y",0,0,0,0,0,0,0,0,0
"TMTC1",11,10,10,10,8,9,9,8,9
"TMTC2",0,0,0,0,0,0,0,0,1
"TMTC3",28,29,31,33,29,35,35,34,37
"TMTC4",14,13,11,9,7,7,6,5,3
"TMUB1",0,0,0,0,0,0,0,1,0
"TMUB2",23,26,23,21,20,23,22,19,19
"TMX1",61,64,64,64,56,66,65,59,67
"TMX2",117,126,124,125,117,135,138,125,142
"TMX2-CTNND1",0,0,0,0,1,1,0,0,1
"TMX3",50,48,49,47,41,46,46,39,44
"TMX4",6,8,8,8,9,11,11,13,13
"TNC",0,0,0,0,1,1,1,1,1
"TNF",0,0,0,0,0,0,0,0,0
"TNFAIP1",40,36,32,29,24,26,23,19,18
"TNFAIP2",125,110,96,87,67,62,54,41,34
"TNFAIP3",0,1,1,2,2,2,2,3,3
"TNFAIP6",6,8,10,10,13,15,16,15,17
"TNFAIP8",13,13,13,13,13,17,18,15,19
"TNFAIP8L1",1,1,1,2,2,2,3,2,4
"TNFAIP8L2",1,1,1,1,1,1,0,1,1
"TNFAIP8L2-SCNM1",0,0,0,0,0,0,0,0,0
"TNFAIP8L3",2,2,4,3,4,5,5,4,5
"TNFRSF10A",0,0,0,0,0,0,0,0,1
"TNFRSF10B",17,16,16,14,12,14,14,13,12
"TNFRSF10C",0,0,0,0,0,0,0,0,0
"TNFRSF10D",10,12,11,12,10,11,12,11,11
"TNFRSF11A",0,0,0,0,1,1,1,1,1
"TNFRSF11B",19,17,16,16,13,15,14,11,11
"TNFRSF12A",98,105,115,127,123,143,157,153,175
"TNFRSF13B",0,0,0,0,0,0,0,0,0
"TNFRSF13C",0,0,0,0,0,0,0,0,0
"TNFRSF14",0,0,0,0,0,0,0,0,0
"TNFRSF17",0,0,0,0,0,0,0,0,0
"TNFRSF18",0,0,0,0,0,0,0,0,0
"TNFRSF19",3,3,2,2,2,1,1,1,1
"TNFRSF1A",9,11,14,16,17,23,25,24,29
"TNFRSF1B",0,0,0,0,0,0,0,0,0
"TNFRSF21",7,7,5,5,4,3,2,2,1
"TNFRSF25",18,18,13,12,8,7,5,3,2
"TNFRSF4",0,0,0,0,0,1,0,0,0
"TNFRSF6B",1,2,2,1,1,2,2,2,1
"TNFRSF8",0,0,0,0,0,0,0,0,0
"TNFRSF9",0,0,0,0,0,1,0,0,0
"TNFSF10",0,0,0,0,0,0,0,0,0
"TNFSF11",0,0,0,0,0,0,0,0,0
"TNFSF12",0,0,0,1,0,1,1,1,0
"TNFSF12-TNFSF13",0,0,0,0,0,0,0,0,0
"TNFSF13",0,0,1,1,0,0,0,0,0
"TNFSF13B",0,0,0,0,0,0,0,0,0
"TNFSF14",0,0,0,0,0,0,0,0,0
"TNFSF15",1,1,1,1,1,1,1,1,1
"TNFSF18",5,3,2,2,1,1,1,1,0
"TNFSF4",48,42,36,33,24,23,19,13,9
"TNFSF8",0,0,0,0,0,0,0,0,0
"TNFSF9",1,1,1,0,0,0,0,0,0
"TNIK",0,0,0,0,0,0,0,0,0
"TNIP1",10,9,9,10,8,8,8,7,7
"TNIP2",9,9,7,7,5,5,4,3,2
"TNIP3",0,0,0,0,0,0,0,0,0
"TNK1",0,0,0,0,0,0,0,0,0
"TNK2",3,2,2,2,1,1,1,1,1
"TNKS",11,10,10,10,8,9,8,7,7
"TNKS1BP1",3,3,3,3,3,3,3,3,3
"TNKS2",14,13,14,13,12,13,13,11,11
"TNMD",0,0,0,0,0,0,0,0,0
"TNN",0,0,0,0,0,0,0,0,0
"TNNC1",604,546,439,381,282,259,182,120,65
"TNNC2",336,288,263,213,154,142,109,65,45
"TNNI1",926,810,688,600,428,392,299,193,119
"TNNI2",34,27,27,25,16,13,10,4,3
"TNNI3",0,0,0,0,0,0,0,0,0
"TNNI3K",0,0,0,0,0,0,0,0,0
"TNNT1",378,325,271,237,166,148,118,72,48
"TNNT2",4117,3658,3167,2707,2002,1864,1534,1017,748
"TNNT3",196,166,155,122,93,82,57,35,19
"TNP1",0,0,0,0,0,0,0,0,0
"TNP2",0,0,0,0,0,0,0,0,0
"TNPO1",29,29,29,29,26,29,30,27,30
"TNPO2",14,14,13,15,12,15,14,14,15
